PAGAT,Cora,0.7768,0.008964373932405996,64,4,0.5,0.0005,0
PAGAT,Cora,0.7767000000000002,0.009198369420718009,64,4,0.5,0.0005,0
PAGAT,Citeseer,0.6841,0.014038874598770346,64,2,0,0.01,0.0001
PAGAT,Cora,0.777,0.009252026804976311,64,4,0.5,0.0005,0
GCN,Cora,0.8079000000000001,0.00406078810084938,64,2,0.5,0.01,0.0001
GCN,Cora,0.8049,0.01327742444904128,64,4,0.5,0.01,0.0001
GCN,Cora,0.8049,0.01327742444904128,64,4,0.5,0.01,0.0001
GCN,Citeseer,0.6875000000000001,0.0077362781749365376,64,2,0.5,0.01,0.0001
GAT,Cora,0.7929999999999999,0.013827508813954897,64,4,0.5,0.0005,0.0001
GAT,Cora,0.7928,0.01365137355726523,64,4,0.5,0.0005,0.0001
GAT,Cora,0.7929,0.013736447866897773,64,4,0.5,0.0005,0.0001
GAT,Citeseer,0.6832,0.012155657119218162,64,2,0.5,0.01,0.0001
PAGAT,CS,0.9192211192320279,0.0010095700361230332,64,3,0.5,0.01,0.0001
PAGAT,Citeseer,0.6848000000000001,0.014316424134538593,64,2,0,0.01,0
PAGAT,Citeseer,0.6845000000000001,0.014193308282426586,64,2,0,0.01,0
PAGAT,Citeseer,0.6851,0.014652303573158696,64,2,0,0.01,0
GCN,CS,0.5250027271735573,0.08448503106290957,64,3,0.1,0.0005,0
GCN,Citeseer,0.6875000000000001,0.0077362781749365376,64,2,0.5,0.01,0.0001
GCN,Citeseer,0.6875000000000001,0.0077362781749365376,64,2,0.5,0.01,0.0001
GCN,Citeseer,0.6875000000000001,0.0077362781749365376,64,2,0.5,0.01,0.0001
GAT,CS,0.41568670230173443,0.07011202362606371,64,3,0,0.0005,0
GAT,Citeseer,0.6832,0.012155657119218162,64,2,0.5,0.01,0.0001
GAT,Citeseer,0.6832,0.012155657119218162,64,2,0.5,0.01,0.0001
GAT,Citeseer,0.6832,0.012155657119218162,64,2,0.5,0.01,0.0001
PAGAT,Pubmed,0.7632999999999999,0.008695401083331356,64,4,0.5,0.0005,0
PAGAT,Pubmed,0.7629999999999999,0.007536577472566716,64,4,0.5,0.0005,0
PAGAT,Pubmed,0.7666999999999999,0.006738694235532585,64,4,0.5,0.0005,0.0001
GCN,Pubmed,0.7702,0.008818163074019449,64,4,0.5,0.0005,0.0001
GCN,Pubmed,0.7709,0.004085339643163103,64,4,0.5,0.0005,0
GCN,Pubmed,0.7702,0.008818163074019449,64,4,0.5,0.0005,0.0001
GAT,Pubmed,0.7697999999999999,0.007249827584156749,64,4,0.1,0.0005,0.0001
GAT,Pubmed,0.7699,0.007327346040688954,64,4,0.1,0.0005,0.0001
GAT,Pubmed,0.7699,0.007327346040688954,64,4,0.1,0.0005,0.0001
PAGAT,Texas,0.5567567567567567,0.13738664894204142,64,2,0.1,0.01,0.0001
PAGAT,Texas,0.5756756756756756,0.1608278437493172,64,2,0.1,0.01,0.0001
PAGAT,Texas,0.5702702702702702,0.12470564318983056,64,2,0.1,0.01,0.0001
GCN,Texas,0.5621621621621622,0.04954135886438745,64,4,0.5,0.01,0
GCN,Texas,0.5621621621621622,0.04954135886438745,64,4,0.5,0.01,0
GCN,Texas,0.5621621621621622,0.04954135886438745,64,4,0.5,0.01,0
GAT,Texas,0.5891891891891893,0.060192047165729956,64,4,0.5,0.01,0.0001
GAT,Texas,0.5972972972972974,0.05726924351464079,64,4,0.5,0.01,0
GAT,Texas,0.6027027027027028,0.05802948798265916,64,4,0.5,0.01,0
PAGAT,Wisconsin,0.7666666666666666,0.06646451473207174,64,2,0.1,0.01,0.0001
PAGAT,Wisconsin,0.7588235294117647,0.07126581115837745,64,2,0.1,0.01,0.0001
PAGAT,Wisconsin,0.7274509803921569,0.07039734537653428,64,2,0.1,0.01,0.0001
GCN,Wisconsin,0.5117647058823529,0.054374214211223716,64,4,0.5,0.0005,0.0001
GCN,Wisconsin,0.5117647058823529,0.054374214211223716,64,4,0.5,0.0005,0.0001
GCN,Wisconsin,0.5117647058823529,0.054374214211223716,64,4,0.5,0.0005,0.0001
GAT,Wisconsin,0.5274509803921569,0.047586906272594494,64,3,0.5,0.01,0
GAT,Wisconsin,0.5196078431372549,0.0702880326624899,64,3,0.5,0.01,0.0001
GAT,Wisconsin,0.5078431372549019,0.04917622040778217,64,3,0.5,0.01,0
PAGAT,Cornell,0.6216216216216217,0.07252112359458779,64,2,0.1,0.01,0.0001
PAGAT,Cornell,0.6054054054054054,0.05156428115767273,64,2,0.1,0.01,0.0001
PAGAT,Cornell,0.6243243243243243,0.06097575228474854,64,2,0.1,0.01,0.0001
GCN,Cornell,0.40810810810810816,0.05597923020867021,64,2,0.5,0.01,0
GCN,Cornell,0.40810810810810816,0.05597923020867021,64,2,0.5,0.01,0
GCN,Cornell,0.40810810810810816,0.05597923020867021,64,2,0.5,0.01,0
GAT,Cornell,0.41621621621621624,0.07567567567567567,64,2,0.1,0.01,0.0001
GAT,Cornell,0.4108108108108108,0.04954135886438746,64,4,0.1,0.01,0
GAT,Cornell,0.41621621621621624,0.07567567567567567,64,2,0.1,0.01,0.0001
